codigo;articulo;unidades;venta
1848;"ALFONSINO 1,1 KG";2;308
1129;"Chiviritero MG";2;300
1234;"Enric Soler Improvisació 2018 - Xarello (D.O. Penedés)";2;300
1243;"Oxer Bastegieta, Iraun 2024 - Viura (D.O. Rioja)";4;300
1419;"Magna Vides Vera Vides 2024 - Tempranillo, Albillo (D.O. Ribera del Duero)";5;300
1427;"Artuke Pies Negros 2023 - Tempranillo (D.O.Ca. Rioja)";6;300
1494;"Chateau Derezla 2019 - Furmint, Hárslevelű (D.O.P. Tokaj-Hegyalja)";5;300
1866;"Raventos y Blanc Vinya del Coll";3;300
2041;"Sancerre Roc de L'Abbaye MG";2;300
1810;"DENTON 2,3 KG";1;299
173;"CARAJILLO BAILEYS";61;296.4
1408;"Frontonio, Las Alas de Tejera 2021 - Garnacha (I.G.P. Valdejálon)";2;290
1894;"Domaine Jobard Morey Mersault 1er Cru Charmes";1;290
1531;"BLACK BERRY";19;288
1535;"CAIPIRIÑA POP";20;288
1573;"PARGO 1,1 KG";2;286
1623;"DORADA 1,1 KG";2;286
1798;"DENTON 1,1 KG";2;286
635;"SANGRIA CHAMPAGNE";3;285
1282;"'Suertes del Marqués Vidonia ''Trenzado'' 2023 - Listan Blanco, Malvasia Volcanica (D.O. Islas Canar";5;282
249;"MACALLAN 12";23;281
798;"2019  Mirando al Sur O. Riviere";2;280
865;"2022 As sortes  Rafael Palacios";2;280
1059;"Domaine Jobard Morey Bourgogne Blanc 2020";1;280
1292;"Toni Just Wallufer Kabinett 1997 - Riesling (Alemania)";2;280
1421;"Oxer Wines Kuusu 2015 - Tinta de Toro (D.O. Toro)";2;280
1918;"Envinate Las Molinas";2;280
220;"BOTELLIN";55;278.1
1228;"Cisteller Lucidity 2023 - Brut Nature";5;275
